"date","fund"
"2025-03-22 14:00:00+00","55.00"
"2025-03-23 10:00:00+00","60.00"
"2025-03-23 14:00:00+00","93.00"
"2025-03-24 14:00:00+00","90.00"
"2025-03-25 14:00:00+00","122.30"
"2025-03-26 14:00:00+00","153.30"
"2025-03-27 14:00:00+00","175.00"
"2025-03-28 14:00:00+00","203.30"
"2025-03-29 14:00:00+00","175.00"
"2025-03-30 10:00:00+00","170.00"
"2025-03-30 14:00:00+00","184.50"
"2025-03-31 14:00:00+00","177.80"
"2025-04-01 14:00:00+00","172.80"
"2025-04-02 14:00:00+00","204.20"
"2025-04-03 14:00:00+00","232.50"
"2025-04-04 14:00:00+00","214.20"
"2025-04-05 10:00:00+00","247.30"