"id","name"
"0eb6630d-3ebf-4b9b-b11c-bcdd43df7157","Guwahati"
"288c830d-fa4a-478f-ba3f-311d50251c88","Kolkata"
"44fe4eb1-0342-4dc4-8e96-e0f66f83a648","Hyderabad"
"4e851739-dabd-42f9-aae5-ed24f94c703e","Delhi"
"64524cec-7f5f-45e0-a082-6425f683ee08","Ahmedabad"
"67585d30-ecae-43d6-9152-32df7dcd061e","Chennai"
"67c9ea53-b791-477c-abea-90eac8c4a20a","Mumbai"
"6a8f82b0-9b42-44f9-b44d-dab75a2ed368","Bengaluru"
"7ac9e82d-7055-4de9-bab8-74f5edb39cf1","Dharamsala"
"91132c0a-bf06-44d6-9380-f2864f950f4d","Visakhapatnam"
"dd161096-c397-4e78-8110-f68dd6cc5f15","Jaipur"
"f5b09172-48f3-43f5-9727-70695a5f1c24","Lucknow"
"ff760c2d-4e7f-4aad-aa31-6930ce6d87c4","New Chandigarh"